board,turns,winner
"[[ -1 -1 -1 -1  0  0 -1 -1 -1]
 [ -1 -1 -1 -1  0 -1 -1 -1 -1]
 [ -1 -1 -1 -1  1 -1 -1 -1 -1]
 [  0 -1 -1  0  1 -1 -1 -1  0]
 [  0 -1  1  1100  1 -1  0  0]
 [  0  0 -1 -1  1 -1 -1  1  0]
 [ -1 -1 -1 -1 -1  0 -1 -1  1]
 [ -1 -1 -1 -1  0 -1 -1 -1 -1]
 [ -1 -1 -1  0 -1 -1 -1  0 -1]]",1,1
"[[ -1 -1 -1 -1  0  0 -1 -1 -1]
 [ -1 -1 -1 -1  0 -1 -1 -1 -1]
 [ -1 -1 -1 -1  1 -1 -1 -1 -1]
 [  0 -1 -1  0  1 -1 -1 -1  0]
 [  0 -1  1  1100  1 -1  0  0]
 [  0  0 -1 -1 -1 -1 -1  1  0]
 [ -1 -1 -1 -1  1  0 -1 -1  1]
 [ -1 -1 -1 -1  0 -1 -1 -1 -1]
 [ -1 -1 -1  0 -1 -1 -1  0 -1]]",0,1
"[[ -1 -1 -1 -1  0  0 -1 -1 -1]
 [ -1 -1 -1 -1  0 -1 -1 -1 -1]
 [ -1 -1 -1 -1  1 -1 -1 -1 -1]
 [  0 -1 -1  0  1 -1 -1 -1  0]
 [  0 -1  1  1100  1 -1  0  0]
 [  0  0 -1 -1 -1  0 -1  1  0]
 [ -1 -1 -1 -1  1 -1 -1 -1  1]
 [ -1 -1 -1 -1  0 -1 -1 -1 -1]
 [ -1 -1 -1  0 -1 -1 -1  0 -1]]",1,1
"[[ -1 -1 -1 -1  0  0 -1 -1 -1]
 [ -1 -1 -1 -1  0 -1 -1 -1 -1]
 [ -1 -1 -1  1 -1 -1 -1 -1 -1]
 [  0 -1 -1 -1  1 -1 -1 -1  0]
 [  0 -1  1  1100  1 -1  0  0]
 [  0  0 -1 -1 -1  0 -1  1  0]
 [ -1 -1 -1 -1  1 -1 -1 -1  1]
 [ -1 -1 -1 -1  0 -1 -1 -1 -1]
 [ -1 -1 -1  0 -1 -1 -1  0 -1]]",0,1
"[[ -1 -1 -1 -1  0  0 -1 -1 -1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1  1 -1 -1 -1 -1 -1]
 [  0 -1 -1 -1  1 -1 -1 -1  0]
 [  0 -1  1  1100  1 -1  0  0]
 [  0  0 -1 -1 -1  0 -1  1  0]
 [ -1 -1 -1 -1  1 -1 -1 -1  1]
 [ -1 -1 -1 -1  0 -1 -1 -1 -1]
 [ -1 -1 -1  0 -1 -1 -1  0 -1]]",1,1
"[[ -1 -1 -1 -1  0  0 -1 -1 -1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1  1 -1 -1 -1 -1 -1]
 [  0 -1 -1 -1  1 -1 -1 -1  0]
 [  0 -1  1  1100  1 -1  0  0]
 [  0  0 -1 -1 -1  0 -1  1  0]
 [ -1 -1 -1 -1  1 -1 -1 -1 -1]
 [ -1 -1 -1 -1  0 -1 -1 -1  1]
 [ -1 -1 -1  0 -1 -1 -1  0 -1]]",0,1
"[[ -1 -1 -1 -1  0  0 -1 -1 -1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1  1 -1 -1 -1 -1 -1]
 [  0 -1 -1 -1  1 -1 -1 -1  0]
 [  0 -1  1  1100  1 -1  0  0]
 [  0  0 -1 -1 -1  0 -1  1  0]
 [ -1 -1 -1 -1  1 -1 -1 -1 -1]
 [ -1 -1 -1 -1  0 -1 -1 -1  1]
 [ -1 -1 -1  0 -1 -1  0 -1 -1]]",1,1
"[[ -1 -1 -1 -1  0  0 -1 -1 -1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1  1 -1 -1 -1 -1 -1]
 [  0 -1 -1 -1 -1  1 -1 -1  0]
 [  0 -1  1  1100  1 -1  0  0]
 [  0  0 -1 -1 -1  0 -1  1  0]
 [ -1 -1 -1 -1  1 -1 -1 -1 -1]
 [ -1 -1 -1 -1  0 -1 -1 -1  1]
 [ -1 -1 -1  0 -1 -1  0 -1 -1]]",0,1
"[[ -1 -1 -1 -1  0  0 -1 -1 -1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1  1 -1 -1 -1 -1 -1]
 [  0 -1 -1 -1 -1  1 -1 -1  0]
 [  0 -1  1  1100  1 -1  0  0]
 [  0  0 -1 -1 -1  0 -1  1  0]
 [ -1 -1 -1 -1  1 -1 -1 -1 -1]
 [ -1 -1 -1 -1  0 -1 -1 -1  1]
 [ -1 -1 -1 -1  0 -1  0 -1 -1]]",1,1
"[[ -1 -1 -1 -1  0  0 -1 -1 -1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [  0 -1 -1  1 -1  1 -1 -1  0]
 [  0 -1  1  1100  1 -1  0  0]
 [  0  0 -1 -1 -1  0 -1  1  0]
 [ -1 -1 -1 -1  1 -1 -1 -1 -1]
 [ -1 -1 -1 -1  0 -1 -1 -1  1]
 [ -1 -1 -1 -1  0 -1  0 -1 -1]]",0,1
"[[ -1 -1 -1 -1  0  0 -1 -1  0]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [  0 -1 -1  1 -1  1 -1 -1 -1]
 [  0 -1  1  1100  1 -1  0  0]
 [  0  0 -1 -1 -1  0 -1  1  0]
 [ -1 -1 -1 -1  1 -1 -1 -1 -1]
 [ -1 -1 -1 -1  0 -1 -1 -1  1]
 [ -1 -1 -1 -1  0 -1  0 -1 -1]]",1,1
"[[ -1 -1 -1 -1  0  0 -1 -1  0]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [  0 -1 -1  1 -1  1 -1 -1 -1]
 [  0 -1  1  1100  1 -1  0  0]
 [  0  0 -1 -1 -1  0 -1  1  0]
 [  1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ -1 -1 -1 -1  0 -1 -1 -1  1]
 [ -1 -1 -1 -1  0 -1  0 -1 -1]]",0,1
"[[ -1 -1 -1 -1  0  0 -1 -1  0]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [  0 -1 -1  1 -1  1 -1 -1 -1]
 [  0 -1  1  1100  1 -1  0  0]
 [  0  0 -1 -1  0 -1 -1  1  0]
 [  1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ -1 -1 -1 -1  0 -1 -1 -1  1]
 [ -1 -1 -1 -1  0 -1  0 -1 -1]]",1,1
"[[ -1 -1 -1 -1  0  0 -1 -1  0]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [  0 -1 -1  1 -1  1 -1 -1 -1]
 [  0 -1  1  1100 -1 -1  0  0]
 [  0  0 -1 -1  0  1 -1  1  0]
 [  1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ -1 -1 -1 -1  0 -1 -1 -1  1]
 [ -1 -1 -1 -1  0 -1  0 -1 -1]]",0,1
"[[ -1 -1 -1 -1  0  0 -1 -1  0]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [  0 -1 -1  1 -1  1 -1 -1 -1]
 [  0 -1  1  1100 -1 -1  0  0]
 [  0  0 -1 -1  0  1 -1  1  0]
 [  1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ -1 -1 -1 -1 -1 -1  0 -1  1]
 [ -1 -1 -1 -1  0 -1  0 -1 -1]]",1,1
"[[ -1 -1 -1 -1  0  0 -1 -1  0]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [  0 -1 -1  1 -1  1 -1 -1 -1]
 [  0 -1 -1  1100 -1 -1  0  0]
 [  0  0 -1 -1  0  1 -1  1  0]
 [  1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ -1 -1 -1 -1 -1 -1  0 -1  1]
 [ -1 -1  1 -1  0 -1  0 -1 -1]]",0,1
"[[ -1 -1 -1 -1  0  0 -1 -1  0]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [  0 -1 -1  1 -1  1 -1 -1 -1]
 [ -1  0 -1  1100 -1 -1  0  0]
 [  0  0 -1 -1  0  1 -1  1  0]
 [  1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ -1 -1 -1 -1 -1 -1  0 -1  1]
 [ -1 -1  1 -1  0 -1  0 -1 -1]]",1,1
"[[ -1 -1 -1 -1  0  0 -1 -1  0]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [  0 -1 -1  1 -1  1 -1 -1 -1]
 [ -1  0 -1  1100 -1 -1  0  0]
 [  0 -1 -1 -1  0  1 -1  1  0]
 [ -1  1 -1 -1 -1 -1 -1 -1 -1]
 [ -1 -1 -1 -1 -1 -1  0 -1  1]
 [ -1 -1  1 -1  0 -1  0 -1 -1]]",0,1
"[[ -1 -1 -1 -1  0  0 -1  0 -1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [  0 -1 -1  1 -1  1 -1 -1 -1]
 [ -1  0 -1  1100 -1 -1  0  0]
 [  0 -1 -1 -1  0  1 -1  1  0]
 [ -1  1 -1 -1 -1 -1 -1 -1 -1]
 [ -1 -1 -1 -1 -1 -1  0 -1  1]
 [ -1 -1  1 -1  0 -1  0 -1 -1]]",1,1
"[[ -1 -1 -1 -1  0  0 -1  0 -1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [  0 -1 -1  1 -1  1 -1 -1 -1]
 [ -1  0 -1  1100 -1 -1  0  0]
 [  0 -1 -1 -1  0  1 -1  1  0]
 [ -1 -1 -1 -1 -1 -1  1 -1 -1]
 [ -1 -1 -1 -1 -1 -1  0 -1  1]
 [ -1 -1  1 -1  0 -1  0 -1 -1]]",0,1
"[[ -1 -1 -1 -1  0  0 -1  0 -1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [  0  0 -1  1 -1  1 -1 -1 -1]
 [ -1 -1 -1  1100 -1 -1  0  0]
 [  0 -1 -1 -1  0  1 -1  1  0]
 [ -1 -1 -1 -1 -1 -1  1 -1 -1]
 [ -1 -1 -1 -1 -1 -1  0 -1  1]
 [ -1 -1  1 -1  0 -1  0 -1 -1]]",1,1
"[[ -1 -1 -1 -1  0  0 -1  0 -1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [  0  0 -1  1 -1  1 -1 -1 -1]
 [ -1 -1 -1  1100 -1 -1  0  0]
 [  0 -1 -1 -1  0  1 -1  1  0]
 [ -1 -1 -1 -1 -1 -1  1 -1  1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1  1 -1  0 -1  0 -1 -1]]",0,1
"[[ -1 -1 -1 -1  0  0 -1  0 -1]
 [ -1 -1 -1 -1 -1 -1 -1 -1  0]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [  0  0 -1  1 -1  1 -1 -1 -1]
 [ -1 -1 -1  1100 -1 -1  0  0]
 [  0 -1 -1 -1  0  1 -1  1  0]
 [ -1 -1 -1 -1 -1 -1  1 -1  1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1  1 -1  0 -1  0 -1 -1]]",1,1
"[[ -1 -1 -1 -1  0  0 -1  0 -1]
 [ -1 -1 -1 -1 -1 -1 -1 -1  0]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [  0  0 -1  1 -1  1 -1 -1 -1]
 [ -1 -1 -1  1100 -1 -1  0  0]
 [  0 -1 -1 -1  0  1 -1  1  0]
 [ -1 -1  1 -1 -1 -1  1 -1  1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1 -1  0 -1  0 -1 -1]]",0,1
"[[ -1 -1 -1 -1 -1  0 -1  0 -1]
 [ -1 -1 -1 -1 -1 -1 -1 -1  0]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [  0  0 -1  1  0  1 -1 -1 -1]
 [ -1 -1 -1  1100 -1 -1  0  0]
 [  0 -1 -1 -1  0  1 -1  1  0]
 [ -1 -1  1 -1 -1 -1  1 -1  1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1 -1  0 -1  0 -1 -1]]",1,1
"[[ -1 -1 -1 -1 -1  0 -1  0 -1]
 [ -1 -1 -1 -1 -1 -1 -1 -1  0]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [  0  0 -1  1  0  1 -1 -1 -1]
 [ -1 -1 -1  1100 -1 -1  0  0]
 [  0 -1 -1 -1  0  1 -1  1  0]
 [ -1 -1  1 -1 -1  1 -1 -1  1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1 -1  0 -1  0 -1 -1]]",0,1
"[[ -1 -1 -1 -1 -1  0 -1  0 -1]
 [ -1 -1 -1 -1 -1 -1 -1 -1  0]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [  0  0 -1  1  0  1 -1 -1 -1]
 [ -1 -1 -1  1100 -1 -1  0  0]
 [  0 -1 -1 -1  0  1 -1  1  0]
 [ -1 -1  1 -1 -1  1 -1 -1  1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1 -1  0 -1 -1 -1  0]]",1,1
"[[ -1 -1 -1 -1 -1  0 -1  0 -1]
 [ -1 -1 -1 -1 -1 -1 -1 -1  0]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [  0  0 -1  1  0  1 -1 -1 -1]
 [ -1 -1 -1  1100 -1 -1  0  0]
 [  0 -1 -1 -1  0  1 -1  1  0]
 [ -1 -1 -1 -1 -1  1 -1 -1  1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1  1 -1  0 -1 -1 -1  0]]",0,1
"[[ -1 -1 -1 -1 -1  0  0 -1 -1]
 [ -1 -1 -1 -1 -1 -1 -1 -1  0]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [  0  0 -1  1  0  1 -1 -1 -1]
 [ -1 -1 -1  1100 -1 -1  0  0]
 [  0 -1 -1 -1  0  1 -1  1  0]
 [ -1 -1 -1 -1 -1  1 -1 -1  1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1  1 -1  0 -1 -1 -1  0]]",1,1
"[[ -1 -1 -1 -1 -1  0  0 -1 -1]
 [ -1 -1 -1  1 -1 -1 -1 -1  0]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [  0  0 -1 -1  0  1 -1 -1 -1]
 [ -1 -1 -1  1100 -1 -1  0  0]
 [  0 -1 -1 -1  0  1 -1  1  0]
 [ -1 -1 -1 -1 -1  1 -1 -1  1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1  1 -1  0 -1 -1 -1  0]]",0,1
"[[ -1 -1 -1 -1 -1  0  0 -1 -1]
 [ -1 -1 -1  1 -1 -1 -1 -1  0]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [  0  0 -1 -1  0  1 -1 -1 -1]
 [ -1 -1 -1  1100 -1 -1  0  0]
 [  0 -1 -1  0 -1  1 -1  1  0]
 [ -1 -1 -1 -1 -1  1 -1 -1  1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1  1 -1  0 -1 -1 -1  0]]",1,1
"[[ -1 -1 -1 -1 -1  0  0 -1 -1]
 [ -1 -1  1 -1 -1 -1 -1 -1  0]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [  0  0 -1 -1  0  1 -1 -1 -1]
 [ -1 -1 -1  1100 -1 -1  0  0]
 [  0 -1 -1  0 -1  1 -1  1  0]
 [ -1 -1 -1 -1 -1  1 -1 -1  1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1  1 -1  0 -1 -1 -1  0]]",0,1
"[[ -1 -1 -1 -1 -1  0 -1 -1 -1]
 [ -1 -1  1 -1 -1 -1 -1 -1  0]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [  0  0 -1 -1  0  1 -1 -1 -1]
 [ -1 -1 -1  1100 -1 -1  0  0]
 [  0 -1 -1  0 -1  1 -1  1  0]
 [ -1 -1 -1 -1 -1  1  0 -1  1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1  1 -1  0 -1 -1 -1  0]]",1,1
"[[ -1 -1 -1 -1 -1  0 -1 -1 -1]
 [ -1 -1  1 -1 -1 -1 -1 -1  0]
 [ -1 -1  1 -1 -1 -1 -1 -1 -1]
 [  0  0 -1 -1  0  1 -1 -1 -1]
 [ -1 -1 -1  1100 -1 -1  0  0]
 [  0 -1 -1  0 -1  1 -1  1  0]
 [ -1 -1 -1 -1 -1  1  0 -1  1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1 -1  0 -1 -1 -1  0]]",0,1
"[[ -1 -1 -1 -1 -1  0 -1 -1 -1]
 [ -1 -1  1 -1 -1 -1 -1 -1  0]
 [ -1 -1  1 -1 -1 -1 -1 -1 -1]
 [  0  0 -1 -1  0  1 -1 -1 -1]
 [ -1 -1 -1  1100 -1 -1  0  0]
 [  0 -1  0 -1 -1  1 -1  1  0]
 [ -1 -1 -1 -1 -1  1  0 -1  1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1 -1  0 -1 -1 -1  0]]",1,1
"[[ -1 -1 -1 -1 -1  0 -1 -1 -1]
 [ -1 -1  1 -1 -1 -1 -1 -1  0]
 [ -1 -1  1 -1 -1 -1 -1 -1 -1]
 [  0  0 -1 -1  0  1 -1 -1 -1]
 [ -1 -1 -1  1100 -1 -1  0  0]
 [  0 -1  0 -1 -1 -1  1  1  0]
 [ -1 -1 -1 -1 -1  1  0 -1  1]
 [ -1 -1 -1 -1 -1 -1  0 -1 -1]
 [ -1 -1 -1 -1  0 -1 -1 -1  0]]",0,1
"[[ -1 -1 -1 -1 -1  0 -1 -1 -1]
 [ -1 -1  1 -1 -1 -1 -1 -1  0]
 [ -1 -1  1 -1 -1 -1 -1 -1 -1]
 [  0  0 -1 -1  0  1 -1 -1 -1]
 [ -1 -1 -1  1100 -1 -1  0  0]
 [  0 -1  0 -1 -1 -1  1  1  0]
 [ -1 -1 -1 -1 -1  1  0 -1  1]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ -1 -1 -1 -1  0 -1  0 -1  0]]",1,1
"[[ -1 -1 -1 -1 -1  0 -1 -1 -1]
 [ -1 -1  1 -1 -1 -1  1 -1  0]
 [ -1 -1  1 -1 -1 -1 -1 -1 -1]
 [  0  0 -1 -1  0  1 -1 -1 -1]
 [ -1 -1 -1  1100 -1 -1  0  0]
 [  0 -1  0 -1 -1 -1 -1  1  0]
 [ -1 -1 -1 -1 -1  1  0 -1  1]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ -1 -1 -1 -1  0 -1  0 -1  0]]",0,1
"[[ -1 -1 -1 -1 -1  0 -1 -1 -1]
 [ -1 -1  1 -1 -1 -1  1 -1  0]
 [ -1 -1  1 -1 -1 -1 -1 -1 -1]
 [  0  0 -1 -1  0  1 -1 -1 -1]
 [ -1 -1 -1  1100 -1 -1  0  0]
 [  0 -1  0 -1 -1 -1 -1  1  0]
 [ -1 -1 -1 -1 -1  1  0 -1  1]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ -1  0 -1 -1 -1 -1  0 -1  0]]",1,1
"[[ -1 -1 -1 -1 -1  0 -1 -1 -1]
 [ -1 -1  1 -1 -1 -1  1 -1  0]
 [ -1 -1  1 -1 -1 -1 -1 -1 -1]
 [  0  0 -1 -1  0  1 -1 -1 -1]
 [ -1 -1 -1  1 10 -1 -1  0  0]
 [  0 -1  0 -1 -1 -1 -1  1  0]
 [ -1 -1 -1 -1100  1  0 -1  1]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ -1  0 -1 -1 -1 -1  0 -1  0]]",0,1
"[[ -1 -1 -1 -1 -1  0 -1 -1 -1]
 [ -1 -1  1 -1 -1 -1  1 -1  0]
 [ -1 -1  1 -1 -1 -1 -1  0 -1]
 [  0  0 -1 -1  0  1 -1 -1 -1]
 [ -1 -1 -1  1 10 -1 -1 -1  0]
 [  0 -1  0 -1 -1 -1 -1  1  0]
 [ -1 -1 -1 -1100  1  0 -1  1]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ -1  0 -1 -1 -1 -1  0 -1  0]]",1,1
"[[ -1 -1 -1 -1 -1  0 -1 -1 -1]
 [ -1 -1  1 -1 -1 -1  1 -1  0]
 [ -1  1 -1 -1 -1 -1 -1  0 -1]
 [  0 -1 -1 -1  0  1 -1 -1 -1]
 [ -1 -1 -1  1 10 -1 -1 -1  0]
 [  0 -1  0 -1 -1 -1 -1  1  0]
 [ -1 -1 -1 -1100  1  0 -1  1]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ -1  0 -1 -1 -1 -1  0 -1  0]]",0,1
"[[ -1 -1 -1 -1 -1  0 -1 -1 -1]
 [ -1 -1  1 -1 -1 -1  1 -1  0]
 [ -1  1 -1 -1  0 -1 -1 -1 -1]
 [  0 -1 -1 -1  0  1 -1 -1 -1]
 [ -1 -1 -1  1 10 -1 -1 -1  0]
 [  0 -1  0 -1 -1 -1 -1  1  0]
 [ -1 -1 -1 -1100  1  0 -1  1]
 [ -1 -1 -1 -1 -1 -1 -1 -1 -1]
 [ -1  0 -1 -1 -1 -1  0 -1  0]]",1,1
